Mesures enregistrées le 18/03/24 à 11:05

 Données n°1 ------------------------------------------

Nuage de points : Plan

X        ;        Y        ;        Z
0.47233626357171626        ;        0.13388127977706        ;        0.13332521177829967
0.45201391586215783        ;        0.12038865797202        ;        0.1322787731208625
0.48655193035377053        ;        0.11327708655676        ;        0.1324251400604313
0.47067500028029036        ;        0.11967867232037        ;        0.1333095571503848
0.4455715136007517        ;        0.10603225976797        ;        0.1324075122595763
0.4647731662040906        ;        0.103574904559        ;        0.1326164437209425
0.4668147678833175        ;        0.085653731183347        ;        0.13185120781584914
0.4735244438376697        ;        0.093186199585621        ;        0.13212458493678927
0.4556721091285096        ;        0.064090495079105        ;        0.13113848076305298
0.4340293144537853        ;        0.058169723345059        ;        0.13126488640158362
0.42681070044604064        ;        0.07628279818263        ;        0.13076893195837289
0.4242112071201849        ;        0.092730761801398        ;        0.13124647116858348
0.4087627532140516        ;        0.083893853845261        ;        0.13059311206642257
