Mesures enregistrées le 23/05/23 à 22:56

 Données n°1 ------------------------------------------

Nuage de points : Nuage 1

X	;	Y	;	Z
0.4082227127914811	;	0.084448775401723	;	0.10213817200086724
0.4031126660840309	;	0.08409131152797	;	0.10765112041614615
0.4033076093964841	;	0.083771937555072	;	0.11421559950668549
0.41013708948118943	;	0.083752725081006	;	0.10898572360820369


 Données n°2 ------------------------------------------

Nuage de points : Nuage 2

X	;	Y	;	Z
0.42197283408430025	;	0.21582097976603	;	0.17822609073850743
0.4294339573871968	;	0.2159015901809	;	0.17700662751906054
0.43809400093610384	;	0.21563234396841	;	0.17877933570044283
0.4469485196291087	;	0.21501900735114	;	0.1760472393873449
0.4541481116538881	;	0.21457727309072	;	0.17564373332345276
0.46112971074183257	;	0.21418546363848	;	0.17040148968463117
0.46835087027480565	;	0.21370853853564	;	0.16364256969042468
0.4731520962623971	;	0.21384783647198	;	0.15763151377004184
0.47391611418879526	;	0.21289229262017	;	0.14940483842177743
0.47553490320701486	;	0.21308174771347	;	0.1426111536382308
0.4768144094580715	;	0.2130807862639	;	0.13352911980013285
0.47756438232091286	;	0.2129807507709	;	0.12567991092312414
0.47683757517627845	;	0.21286811275099	;	0.11725256514580731
0.4788574679664961	;	0.21310840737221	;	0.10865996648983717
0.4783869425298196	;	0.21303834554232	;	0.10321360584941963
0.4771704388922154	;	0.2132722080365	;	0.0941312382356399
0.4687963276579455	;	0.21343486781592	;	0.09365003446173299
0.46984583582218914	;	0.21255547912265	;	0.1200367077796739
0.46264344812293556	;	0.2126959302767	;	0.11058763463187911
0.4541126549288169	;	0.21295345863588	;	0.10558182665357727
0.4448270185733416	;	0.21353308740507	;	0.10149116200539476
0.43637131146518415	;	0.21422146402479	;	0.09998753443570846
0.42573240174076815	;	0.21399090171991	;	0.1016648710475119
0.416393120840716	;	0.21512417236674	;	0.10626501909986653
0.4078166850134	;	0.21587514400886	;	0.11118660543097666
0.40245314240395375	;	0.21644272101926	;	0.1198273311959753
0.40078033159105325	;	0.21625977744198	;	0.12848644840904538
0.39828124939758436	;	0.21629138449203	;	0.13813735390783102
0.39925439748035235	;	0.21662862318905	;	0.14665984026881243
0.401053794934593	;	0.21659037520884	;	0.1542966277297084
0.4038090790507045	;	0.21648579107447	;	0.16105227459547955
0.40550932661949135	;	0.21626597402725	;	0.16575409456424822
0.4130444045477729	;	0.21617334978404	;	0.1722309803595416
0.3986818646424334	;	0.21624131212531	;	0.11558041446150619
0.39801786784329235	;	0.21625522360848	;	0.10879719535927675
0.3976837326009511	;	0.21623325132014	;	0.1034562112121856
0.3974328408513269	;	0.21605232411094	;	0.09345697803240266
0.40520836183228787	;	0.21596600997908	;	0.0933570621232672
0.4118167705262655	;	0.21544454104947	;	0.09278714178207377
0.4167995137881388	;	0.21485878802043	;	0.09336744876305735
0.4260903534713089	;	0.2143404946744	;	0.09502513133345872
0.43417324319864303	;	0.21468477089787	;	0.0911700005677603
0.4406215458547482	;	0.21453053747096	;	0.09326685618126525
0.4503161267967095	;	0.21408967428452	;	0.0939271061122132
0.45787717590499233	;	0.21402016057372	;	0.09208305496318475
0.45982210090429515	;	0.21307417103858	;	0.10165487377508053
0.4693004643227356	;	0.21324103362614	;	0.09868797628801776
0.4686303777455068	;	0.21265302498556	;	0.10923306793984087
0.4053713277378491	;	0.21572911506156	;	0.10402125664768747
0.4137597840270413	;	0.21538433115138	;	0.10032730363477323


 Données n°3 ------------------------------------------

Nuage de points : Nuage 3

X	;	Y	;	Z
0.43728833512390536	;	0.079255550910365	;	0.1122584433166991
0.4390211497465874	;	0.071561666097887	;	0.11169532592580769
0.43803036012857766	;	0.06294504290883	;	0.11170790626817616
0.4259741466456215	;	0.060092692792497	;	0.11576310328006945
0.4258788206709955	;	0.073238342004846	;	0.11577247296398659
0.4245527747428887	;	0.068313983918464	;	0.11656565088439175
0.42105097363771454	;	0.08080856513504	;	0.1186977778240801
0.41835546172025306	;	0.070846439747576	;	0.12095388412692047
0.4179152988516025	;	0.059233968123392	;	0.1215817166298603
0.4114158601438615	;	0.057303091183687	;	0.13162478236159958
0.41034151242636413	;	0.067793054248482	;	0.13341667180015043
0.41088321291533264	;	0.072930627235484	;	0.1317054037859012
0.41462920771015355	;	0.06417359469499	;	0.12630029799174639
0.4143005801390053	;	0.076905181805864	;	0.12564791542881323
0.4077764978215691	;	0.0774719897799	;	0.1432812946776542
0.408067357286087	;	0.070087981470529	;	0.14303398546627652
